,,FGM,FGA,,3M,3A,,FTM,FTA,,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Top 25,Overtime,Steal:Turnover Ratio,Clutch Value Sum
Saint Peter's,,10,27,37.037037037037,2,10,20,10,18,55.5555555555556,-2.75,6,5.75,1,1.5,2,1,0.25,1,0,0.125,
Sam Houston St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Samford,,10,23,43.4782608695652,3,9,33.3333333333333,6,14,42.8571428571429,-4,4.5,11,2.5,4,2,3,1.5,0,1,0.75,
San Diego,,10,28,35.7142857142857,1,5,20,14,22,63.6363636363636,-2,4.33333333333333,6.66666666666667,1.33333333333333,1.33333333333333,2.66666666666667,4,2,0,0,0.749999999999999,
San Diego St.,,3,5,60,0,1,0,3,6,50,1,4,4,0,1,1,2,1,0,0,1,
San Francisco,,1,6,16.6666666666667,0,2,0,9,11,81.8181818181818,-1,7,6,2,2,3,3,2,0,0,0.666666666666667,
San Jose St.,,5,15,33.3333333333333,1,7,14.2857142857143,6,8,75,-3,5,4.5,1.5,0,0.5,1,1,0,0,2,
Santa Clara,,11,33,33.3333333333333,1,13,7.69230769230769,11,16,68.75,-6,8.66666666666667,6.66666666666667,3,1,2.33333333333333,1.66666666666667,0.666666666666667,0,1,0.285714285714286,
Seattle,,9,22,40.9090909090909,5,9,55.5555555555556,10,15,66.6666666666667,-2.33333333333333,3.33333333333333,4.66666666666667,1.33333333333333,0.666666666666667,2,1.33333333333333,1,0,0,0.5,
Seton Hall,,5,15,33.3333333333333,3,4,75,10,19,52.6315789473684,1,4.66666666666667,4.66666666666667,1.66666666666667,0.666666666666667,1.66666666666667,2,0.666666666666667,0,0,0.399999999999999,
Siena,,16,38,42.1052631578947,8,13,61.5384615384615,22,32,68.75,1.75,6.5,6.5,2.5,2.25,2.5,2.75,1.25,0,2,0.5,
SIU Edwardsville,,5,9,55.5555555555556,3,6,50,4,6,66.6666666666667,5,8,3,4,1,2,0,0,0,0,0,
SMU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South Alabama,,12,25,48,2,6,33.3333333333333,20,26,76.9230769230769,5,6,3.25,1.75,0.5,1,1.5,0.75,1,0,0.75,
South Carolina,,5,7,71.4285714285714,0,0,0,1,2,50,-6,4,6,1,4,2,0,0,0,0,0,
South Carolina St.,,4,10,40,1,3,33.3333333333333,2,2,100,-3,3,7,2,3,0,1,1,0,0,0,
South Dakota,,4,6,66.6666666666667,0,1,0,7,8,87.5,-6,3,6,0,3,4,1,0,0,0,0,
South Dakota St.,,4,5,80,1,2,50,3,4,75,-1,3,5,0,3,2,0,0,0,0,0,
South Florida,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Southeast Missouri St.,,4,8,50,2,5,40,4,8,50,2,7,7,2,2,1,1,0,0,0,0,
Southeastern Louisiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Southern,,2,8,25,1,2,50,2,2,100,-1,5,2,4,0,2,2,1,0,0,0.5,
Southern Illinois,,5,9,55.5555555555556,2,3,66.6666666666667,4,6,66.6666666666667,9,8,4,2,1,2,0,0,0,0,0,
Southern Indiana,,7,20,35,1,7,14.2857142857143,9,15,60,-3,6.5,8.5,1.5,3,2,2.5,0.5,0,1,0.25,
Southern Miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Southern Utah,,4,11,36.3636363636364,1,5,20,18,28,64.2857142857143,-3,5,4.5,2.5,1,2,0.5,0.5,0,0,0.25,
St. Bonaventure,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
St. John's,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
St. Thomas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stanford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephen F. Austin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stetson,,3,7,42.8571428571429,1,3,33.3333333333333,2,4,50,7,8,5,1,1,1,1,1,0,0,1,
Stonehill,,4,7,57.1428571428571,2,4,50,0,2,0,-6,2,4,0,0,1,1,1,0,0,1,
Stony Brook,,4,7,57.1428571428571,0,1,0,4,6,66.6666666666667,5,3,6,1,3,0,3,2,0,0,0,
Syracuse,,22,34,64.7058823529412,1,4,25,20,31,64.5161290322581,2.66666666666667,7.33333333333333,5.66666666666667,2.33333333333333,2,1.66666666666667,3.33333333333333,1.33333333333333,0,1,0.799999999999996,
Tarleton St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TCU,,1,3,33.3333333333333,0,1,0,6,11,54.5454545454545,-3,4,5,1,1,2,1,0,0,0,0,
Temple,,4,17,23.5294117647059,1,6,16.6666666666667,17,19,89.4736842105263,1.33333333333333,6,5.33333333333333,1.66666666666667,2.66666666666667,2.66666666666667,1.33333333333333,1,0,0,0.375,
Tennessee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tennessee Martin,,2,18,11.1111111111111,0,6,0,6,15,40,-9.5,8.5,8,3.5,2,2,1,0,0,0,0,
Tennessee St.,,17,35,48.5714285714286,7,17,41.1764705882353,6,9,66.6666666666667,-4,6.5,7.5,3.5,1.5,3.5,4.5,3.5,0,2,1,
Tennessee Tech,,10,18,55.5555555555556,3,7,42.8571428571429,6,14,42.8571428571429,0,2.66666666666667,7.33333333333333,0.333333333333333,3.33333333333333,2,1.66666666666667,1,0,0,0.5,
Texas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Texas A&M,,1,11,9.09090909090909,1,6,16.6666666666667,2,4,50,-9,5,7,3,1,0,1,0,0,0,0,
Texas A&M Corpus Chris,,6,12,50,1,5,20,3,5,60,8,7,6,3,2,0,1,1,0,0,0,
Texas Southern,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Texas St.,,5,9,55.5555555555556,2,5,40,3,3,100,3,5,4,1,1,1,2,1,0,0,1,
Texas Tech,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Citadel,,3,10,30,0,6,0,0,0,0,-3,7,4,4,1,3,0,0,0,0,0,
Toledo,,4,5,80,1,2,50,4,6,66.6666666666667,1,3,3,0,1,3,2,1,0,0,0.333333333333333,
Towson,,8,18,44.4444444444444,4,6,66.6666666666667,4,5,80,0.5,2,5.5,1.5,2,0.5,3,2,0,0,4,
Troy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tulane,,4,7,57.1428571428571,2,4,50,5,6,83.3333333333333,-3,5,3,1,0,3,0,0,0,0,0,
Tulsa,,13,26,50,4,10,40,12,17,70.5882352941176,5,13,16,5,4,7,9,7,0,1,1,
UAB,,7,17,41.1764705882353,1,8,12.5,10,11,90.9090909090909,2,7,4,2.5,0.5,1,0.5,0.5,0,0,0.5,
UC Davis,,6,20,30,1,8,12.5,11,14,78.5714285714286,1,8.5,5.5,4.5,2,2,2,0.5,0,0,0.25,
UC Irvine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UC Riverside,,5,10,50,1,3,33.3333333333333,10,14,71.4285714285714,3,5,3.5,0.5,0.5,1.5,1.5,1,0,0,0.666666666666667,
UC San Diego,,2,7,28.5714285714286,2,4,50,2,2,100,-1,4,4,1,0,2,1,0,0,0,0,
UC Santa Barbara,,4,10,40,2,5,40,13,15,86.6666666666667,-4,3,6.5,0,2.5,2,0,0,0,0,0,
UCF,,11,20,55,1,5,20,17,20,85,4.66666666666667,6.33333333333333,4.66666666666667,1.33333333333333,2.33333333333333,1.33333333333333,0.333333333333333,0,1,0,0,
UCLA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
