,Team,,Top25,Home,OT,Opponent,Date,,FGM,FGA,,3M,3A,,FTM,FTA,,SM,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Win,ComeFromBehindWins,BlownLeadClutchLoss,Away,Neutral,Top 25,Overtime,Opp Historical Value,Opp Historical Value 1-100,Opp Historical Value 101-200,Opp Historical Value 300+,Opp Current Value,SOS of Game,% of points in clutch,Opp % of points in clutch,"Had Lead, but Lost",Came back from deficit and won,Perfect Fg,Perfect 3Fg,Perfect Ft,Free throws lost game,Made a 10+ marg into clutch game ,20% of scoring came during clut,"Clutch Shot differential? Move Value to part of SOS, average clutch last year?, percentage of clutch points from 3 and ft, opp 2 fg and 3fg",Clutch Value
Team:,,,,,,,,,Sum:,Sum:,,Sum:,Sum:,,Sum:,Sum:,,,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Sum:,Sum:,,Sum:,Sum:,Sum:,,,,,,,,,,,,,,,,,,Sum:
,Cal St. Northridge,,0,AWAY,0,Sacramento St.,"Nov 16, 2024",,3,4,0.75,1,2,0.5,8,10,0.8,10,10,5,5,1,3,0,3,1,1,1,0,1,0,0,0,9.014,,,,,,0.189873417721519,0.072463768115942,0,0,0,0,0,0,0,0,,11.54
California,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell,,,,,,,,,6,17,,0,6,,3,5,,,-1.5,4,5.5,2.5,1.5,0.5,2,1,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,4.9827
,Campbell,,0,AWAY,0,Virginia,"Nov 6, 2024",,4,9,0.444444444444444,0,2,0,1,2,0.5,-9,-1,3,6,1,1,0,2,1,0,0,0,1,0,0,0,59.082,,,,,,0.160714285714286,0.153846153846154,0,0,0,0,0,0,0,0,,3.2054
,Campbell,,0,HOME,0,Saint Francis,"Nov 10, 2024",,2,8,0.25,0,4,0,2,3,0.666666666666667,-1,-2,5,5,4,2,1,2,1,0,0,1,0,0,0,0,11.936,,,,,,0.09375,0.123076923076923,1,0,0,0,0,0,0,0,,1.7773
Canisius,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Canisius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Arkansas,,,,,,,,,1,5,,0,2,,0,0,,,-12,3,5,0,1,5,1,0,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,-12.867
,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Arkansas,,0,AWAY,0,Western Illinois,"Nov 16, 2024",,1,5,0.2,0,2,0,0,0,0,-2,-12,3,5,0,1,5,1,0,0,0,1,1,0,0,0,11.431,,,,,,0.0327868852459016,0.222222222222222,1,0,0,0,0,1,0,0,,-12.867
Central Connecticut,,,,,,,,,5,14,,2,4,,8,8,,,-2,3.5,4.5,1,1,0.5,0,0.5,0.5,0,1,,0,0,0,,,,,,,,,,,,,,,,,,10.2193
,Central Connecticut,,0,AWAY,0,Providence,"Nov 4, 2024",,1,7,0.142857142857143,0,0,0,5,5,1,-4,-5,3,4,2,0,0,0,0,0,0,1,1,0,0,0,45.336,,,,,,0.127272727272727,0.203389830508475,1,0,0,0,1,0,0,0,,1.8699
,Central Connecticut,,0,AWAY,0,Saint Joseph's,"Nov 8, 2024",,4,7,0.571428571428571,2,4,0.5,3,3,1,6,1,4,5,0,2,1,0,1,1,0,0,1,0,0,0,23.074,,,,,,0.178082191780822,0.17910447761194,0,0,0,0,1,0,0,0,,8.3494
Central Michigan,,,,,,,,,5,19,,3,11,,7,13,,,-5.66666666666667,4.33333333333333,4.33333333333333,2.33333333333333,1,3,1.66666666666667,1.33333333333333,0.666666666666667,0,1,,0,0,0,,,,,,,,,,,,,,,,,,-1.1978
,Central Michigan,,0,HOME,0,Stony Brook,"Nov 7, 2024",,2,5,0.4,1,2,0.5,2,6,0.333333333333333,-1,-5,6,3,3,1,3,0,0,0,0,1,0,0,0,0,20.781,,,,,,0.0972222222222222,0.164383561643836,1,0,0,0,0,1,0,0,,-5.2363
,Central Michigan,,0,AWAY,0,South Alabama,"Nov 4, 2024",,1,5,0.2,0,4,0,2,3,0.666666666666667,4,-12,3,3,2,1,4,1,1,1,0,0,1,0,0,0,16.889,,,,,,0.0540540540540541,0.228571428571429,0,0,0,0,0,0,0,0,,-3.5127
,Central Michigan,,0,AWAY,0,George Mason,"Nov 13, 2024",,2,9,0.222222222222222,2,5,0.4,3,4,0.75,1,0,4,7,2,1,2,4,3,1,0,0,1,0,0,0,11.913,,,,,,0.128571428571429,0.130434782608696,0,0,0,0,0,0,0,0,,7.5512
Charleston,,,,,,,,,11,25,,2,8,,5,7,,,-6,16,10,6,2,4,2,1,1,0,0,,0,0,1,,,,,,,,,,,,,,,,,,4.8626
,Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charleston,,0,HOME,1,Florida Atlantic,"Nov 15, 2024",,11,25,0.44,2,8,0.25,5,7,0.714285714285714,3,-6,16,10,6,2,4,2,1,1,0,0,0,0,0,1,61.734,,,,,,0.243697478991597,0.293103448275862,0,0,0,0,0,0,0,1,,4.8626
Charleston Southern,,,,,,,,,4,8,,1,4,,4,6,,,2,5,5,2,1,3,3,1,0,0,0,,1,0,0,,,,,,,,,,,,,,,,,,5.0543
,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charleston Southern,,0,NEUTRAL,0,UT Rio Grande Valley,"Nov 15, 2024",,4,8,0.5,1,4,0.25,4,6,0.666666666666667,-10,2,5,5,2,1,3,3,1,0,0,0,0,1,0,0,7.186,,,,,,0.171052631578947,0.127906976744186,0,0,0,0,0,0,1,0,,5.0543
Charlotte,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,,,,,,,,,8,20,,0,8,,6,11,,,0,7.5,7,3,2.5,0.5,0.5,0,0.5,0,0,,0,0,0,,,,,,,,,,,,,,,,,,5.1937
,Chattanooga,,0,AWAY,0,Austin Peay,"Nov 11, 2024",,5,12,0.416666666666667,0,5,0,0,1,0,-6,2,8,7,4,3,0,0,0,0,0,0,1,0,0,0,19.648,,,,,,0.163934426229508,0.119402985074627,0,0,0,0,0,0,0,0,,3.0807
,Chattanooga,,0,AWAY,0,Southeast Missouri St.,"Nov 17, 2024",,3,8,0.375,0,3,0,6,10,0.6,5,-2,7,7,2,2,1,1,0,1,0,0,1,0,0,0,20.208,,,,,,0.137931034482759,0.170731707317073,0,0,0,0,0,0,0,0,,2.113
Chicago St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Chicago St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemson,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland St.,,,,,,,,,4,4,,0,0,,6,7,,,6,5,2,0,1,1,1,1,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,10.7113
,Cleveland St.,,0,HOME,0,Eastern Michigan,"Nov 16, 2024",,4,4,1,0,0,0,6,7,0.857142857142857,8,6,5,2,0,1,1,1,1,1,0,0,0,0,0,0,6.991,,,,,,0.197183098591549,0.126984126984127,0,0,1,0,0,0,0,0,,10.7113
Coastal Carolina,,,,,,,,,5,12,,2,5,,8,12,,,3.5,6,6,0.5,2,2,0.5,0.5,0.5,1,0,,0,0,0,,,,,,,,,,,,,,,,,,10.237
,Coastal Carolina,,0,HOME,0,Western Michigan,"Nov 4, 2024",,1,4,0.25,0,0,0,3,4,0.75,4,4,5,5,0,2,3,0,0,1,1,0,0,0,0,0,5.153,,,,,,0.0833333333333333,0.160714285714286,0,0,0,0,0,0,0,0,,3.033
,Coastal Carolina,,0,AWAY,0,East Carolina,"Nov 9, 2024",,4,8,0.5,2,5,0.4,5,8,0.625,-4,3,7,7,1,2,1,1,1,0,0,0,1,0,0,0,10.686,,,,,,0.254237288135593,0.19047619047619,0,0,0,0,0,0,0,1,,7.204
Colgate,,,,,,,,,2,6,,0,2,,2,3,,,0,5,5,1,1,2,2,2,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,4.5497
,Colgate,,0,AWAY,0,Syracuse,"Nov 12, 2024",,2,6,0.333333333333333,0,2,0,2,3,0.666666666666667,-2,0,5,5,1,1,2,2,2,0,0,0,1,0,0,0,12.085,,,,,,0.0833333333333333,0.0810810810810811,0,0,0,0,0,0,0,0,,4.5497
Colorado,,,,,,,,,8,16,,1,4,,16,21,,,0,13,10,5,6,4,4,3,1,0,0,,0,0,1,,,,,,,,,,,,,,,,,,11.0408
,Colorado,,0,HOME,1,Northern Colorado,"Nov 8, 2024",,8,16,0.5,1,4,0.25,16,21,0.761904761904762,2,0,13,10,5,6,4,4,3,1,0,0,0,0,0,1,23.431,,,,,,0.366666666666667,0.386363636363636,0,0,0,0,0,0,0,1,,11.0408
Colorado St.,,,,,,,,,9,17,,2,7,,19,21,,,3.5,7,4,1.5,1.5,2,2.5,2,1,0,0,,0,0,1,,,,,,,,,,,,,,,,,,22.8281
,Colorado St.,,0,HOME,1,Tennessee St.,"Nov 8, 2024",,6,8,0.75,2,4,0.5,16,18,0.888888888888889,8,4,8,4,1,3,4,4,3,1,0,0,0,0,0,1,12.27,,,,,,0.344827586206897,0.341772151898734,0,0,0,0,0,0,0,1,,12.8728
,Colorado St.,,0,HOME,0,Denver,"Nov 12, 2024",,3,9,0.333333333333333,0,3,0,3,3,1,9,3,6,4,2,0,0,1,1,1,0,0,0,0,0,0,11.969,,,,,,0.121621621621622,0.0923076923076923,0,0,0,0,1,0,0,0,,9.9553
Columbia,,,,,,,,,5,11,,0,2,,14,23,,,-2,6.5,5,3,0,1.5,0.5,0.5,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,8.1876
,Columbia,,0,AWAY,0,Loyola MD,"Nov 4, 2024",,3,6,0.5,0,1,0,9,13,0.692307692307692,3,7,7,5,4,0,1,1,1,1,1,0,1,0,0,0,8.86,,,,,,0.185185185185185,0.102564102564103,0,1,0,0,0,0,0,0,,11.2696
,Columbia,,0,HOME,0,Lehigh,"Nov 12, 2024",,2,5,0.4,0,1,0,5,10,0.5,1,-11,6,5,2,0,2,0,0,1,0,0,0,0,0,0,13.451,,,,,,0.118421052631579,0.266666666666667,0,0,0,0,0,0,0,0,,-3.082
Connecticut,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppin St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Coppin St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,,,,,,,,,6,11,,3,5,,12,16,,,2,4.5,5,2,3.5,2,1.5,0,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,9.6329
,Cornell,,0,HOME,0,Lafayette,"Nov 16, 2024",,3,4,0.75,2,2,1,7,8,0.875,10,5,1,8,0,6,0,3,0,1,0,0,0,0,0,0,9.081,,,,,,0.185185185185185,0.140845070422535,0,0,0,0,0,0,0,0,,6.885
,Cornell,,0,HOME,0,Samford,"Nov 8, 2024",,3,7,0.428571428571429,1,3,0.333333333333333,5,8,0.625,2,-1,8,2,4,1,4,0,0,1,0,0,0,0,0,0,32.348,,,,,,0.136363636363636,0.151162790697674,0,0,0,0,0,0,0,0,,2.7479
Creighton,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Creighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth,,,,,,,,,1,4,,1,3,,5,8,,,-9,4,1,3,0,6,3,1,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,-1.3677
,Dartmouth,,0,HOME,0,Sacred Heart,"Nov 9, 2024",,1,4,0.25,1,3,0.333333333333333,5,8,0.625,5,-9,4,1,3,0,6,3,1,1,0,0,0,0,0,0,10.436,,,,,,0.0987654320987654,0.223684210526316,0,0,0,0,0,0,0,0,,-1.3677
Davidson,,,,,,,,,6,12,,0,2,,22,26,,,3,6,3.5,2,1.5,2.5,1,0,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,11.6631
,Davidson,,0,HOME,0,East Tennessee St.,"Nov 16, 2024",,3,6,0.5,0,0,0,9,12,0.75,6,6,7,3,4,2,1,1,0,1,1,0,0,0,0,0,17.863,,,,,,0.197368421052632,0.142857142857143,0,0,0,0,0,0,0,0,,7.897
,Davidson,,0,AWAY,0,Bowling Green,"Nov 8, 2024",,3,6,0.5,0,2,0,13,14,0.928571428571429,6,0,5,4,0,1,4,1,0,1,0,0,1,0,0,0,20.831,,,,,,0.208791208791209,0.223529411764706,0,0,0,0,0,0,0,1,,3.7661
Dayton,,,,,,,,,5,6,,1,2,,6,11,,,3,4,4,1,0,2,2,2,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,9.3632
,Dayton,,0,HOME,0,Northwestern,"Nov 9, 2024",,5,6,0.833333333333333,1,2,0.5,6,11,0.545454545454545,5,3,4,4,1,0,2,2,2,1,0,0,0,0,0,0,23.846,,,,,,0.23943661971831,0.212121212121212,0,0,0,0,0,0,0,1,,9.3632
Delaware,,,,,,,,,1,6,,0,1,,9,12,,,4,6,6,1,3,1,4,3,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,9.7027
,Delaware,,0,HOME,0,Robert Morris,"Nov 7, 2024",,1,6,0.166666666666667,0,1,0,9,12,0.75,4,4,6,6,1,3,1,4,3,1,1,0,0,0,0,0,9.781,,,,,,0.135802469135802,0.0909090909090909,0,0,0,0,0,0,0,0,,9.7027
Delaware St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Delaware St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,,,,,,,,,3,10,,0,4,,6,8,,,-7.5,4,6,0.5,2.5,3.5,0,0,0.5,1,0,,0,0,0,,,,,,,,,,,,,,,,,,4.568
,Denver,,0,HOME,0,Montana St.,"Nov 17, 2024",,1,5,0.2,0,1,0,4,4,1,1,-12,4,6,1,3,6,0,0,1,1,0,0,0,0,0,49.273,,,,,,0.0759493670886076,0.243589743589744,0,1,0,0,1,0,0,0,,5.076
,Denver,,0,AWAY,0,Colorado St.,"Nov 12, 2024",,2,5,0.4,0,3,0,2,4,0.5,-9,-3,4,6,0,2,1,0,0,0,0,0,1,0,0,0,44.205,,,,,,0.0923076923076923,0.121621621621622,0,0,0,0,0,0,0,0,,-0.508
DePaul,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,DePaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Mercy,,,,,,,,,6,10,,2,3,,10,10,,,6,10,4,1,1,3,2,1,1,1,0,,0,0,1,,,,,,,,,,,,,,,,,,13.6527
,Detroit Mercy,,0,HOME,1,Niagara,"Nov 10, 2024",,6,10,0.6,2,3,0.666666666666667,10,10,1,6,6,10,4,1,1,3,2,1,1,1,0,0,0,0,1,12.013,,,,,,0.285714285714286,0.230769230769231,0,0,0,0,1,0,0,1,,13.6527
Drake,,,,,,,,,1,4,,1,2,,5,6,,,2,4,3,0,0,1,1,0,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,4.4437
,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drake,,0,HOME,0,Florida Gulf Coast,"Nov 16, 2024",,1,4,0.25,1,2,0.5,5,6,0.833333333333333,2,2,4,3,0,0,1,1,0,1,1,0,0,0,0,0,10.368,,,,,,0.126984126984127,0.0983606557377049,0,0,0,0,0,0,0,0,,4.4437
Drexel,,,,,,,,,5,18,,2,9,,0,2,,,-1,6,5.5,2.5,1,1,1,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,1.536
,Drexel,,0,AWAY,0,Temple,"Nov 12, 2024",,3,10,0.3,0,5,0,0,0,0,-8,-2,3,6,2,1,0,2,0,0,0,0,1,0,0,0,18.423,,,,,,0.0983606557377049,0.115942028985507,0,0,0,0,0,0,0,0,,0.098
,Drexel,,0,HOME,0,La Salle,"Nov 16, 2024",,2,8,0.25,2,4,0.5,0,2,0,-3,0,9,5,3,1,2,0,0,0,0,0,0,0,0,0,13.5,,,,,,0.0882352941176471,0.0845070422535211,0,0,0,0,0,0,0,0,,1.438
Duke,,,,,,,,,2,5,,0,2,,3,4,,,-6,5,4,1,2,4,1,1,0,0,1,,1,1,0,,,,,,,,,,,,,,,,,,-2.203
,Duke,,1,NEUTRAL,0,Kentucky,"Nov 12, 2024",,2,5,0.4,0,2,0,3,4,0.75,-5,-6,5,4,1,2,4,1,1,0,0,1,0,1,1,0,36.035,,,,,,0.0972222222222222,0.168831168831169,1,0,0,0,0,0,0,0,,-2.203
Duquesne,,,,,,,,,3,7,,2,3,,2,2,,,-2,4,2,2,0,4,2,1,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,3.4342
,Duquesne,,0,HOME,0,Lipscomb,"Nov 4, 2024",,3,7,0.428571428571429,2,3,0.666666666666667,2,2,1,-5,-2,4,2,2,0,4,2,1,0,0,0,0,0,0,0,15.465,,,,,,0.138888888888889,0.155844155844156,0,0,0,0,0,0,0,0,,3.4342
East Carolina,,,,,,,,,8,21,,3,7,,19,32,,,0,11.5,7,5.5,1.5,3,2,0.5,1,1,0,,0,0,1,,,,,,,,,,,,,,,,,,14.1072
,East Carolina,,0,HOME,0,Coastal Carolina,"Nov 9, 2024",,1,3,0.333333333333333,1,3,0.333333333333333,9,18,0.5,4,-3,7,7,2,1,1,1,0,1,0,0,0,0,0,0,16.883,,,,,,0.19047619047619,0.254237288135593,0,0,0,0,0,0,0,0,,2.0567
,East Carolina,,0,HOME,1,George Mason,"Nov 16, 2024",,7,18,0.388888888888889,2,4,0.5,10,14,0.714285714285714,1,3,16,7,9,2,5,3,1,1,1,0,0,0,0,1,11.913,,,,,,0.333333333333333,0.298701298701299,0,1,0,0,0,0,0,1,,12.0505
East Tennessee St.,,,,,,,,,9,17,,2,6,,3,5,,,-4.5,3,5.5,1.5,2.5,0.5,2,1.5,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,5.8989
,East Tennessee St.,,0,HOME,0,Eastern Kentucky,"Nov 8, 2024",,5,9,0.555555555555556,1,3,0.333333333333333,2,2,1,-4,-3,3,4,1,1,0,3,2,0,0,0,0,0,0,0,20.343,,,,,,0.166666666666667,0.121951219512195,0,0,0,0,0,0,0,0,,5.7559
,East Tennessee St.,,0,AWAY,0,Davidson,"Nov 16, 2024",,4,8,0.5,1,3,0.333333333333333,1,3,0.333333333333333,-6,-6,3,7,2,4,1,1,1,0,0,0,1,0,0,0,24.752,,,,,,0.142857142857143,0.197368421052632,0,0,0,0,0,0,0,0,,0.143
East Texas A&M,,,,,,,,,10,16,,3,6,,6,8,,,3.5,4,4,1.5,2,1.5,3,3,0.5,0,0,,0,0,0,,,,,,,,,,,,,,,,,,21.2337
,East Texas A&M,,0,AWAY,0,South Dakota,"Nov 6, 2024",,7,12,0.583333333333333,3,5,0.6,4,6,0.666666666666667,-8,6,6,3,3,0,1,4,4,0,0,0,1,0,0,0,9.778,,,,,,0.253012048192771,0.164835164835165,0,0,0,0,0,0,1,1,,15.3697
,East Texas A&M,,0,HOME,0,Southern,"Nov 13, 2024",,3,4,0.75,0,1,0,2,2,1,2,1,2,5,0,4,2,2,2,1,0,0,0,0,0,0,7.925,,,,,,0.114285714285714,0.102941176470588,0,0,0,0,0,0,0,0,,5.864
Eastern Illinois,,,,,,,,,3,11,,0,4,,0,1,,,-10,5,10,2,3,2,1,1,0,0,1,,0,0,1,,,,,,,,,,,,,,,,,,-8.1243
,Eastern Illinois,,0,AWAY,1,Northwestern,"Nov 15, 2024",,3,11,0.272727272727273,0,4,0,0,1,0,-9,-10,5,10,2,3,2,1,1,0,0,1,1,0,0,1,23.846,,,,,,0.103448275862069,0.238805970149254,1,0,0,0,0,1,0,0,,-8.1243
Eastern Kentucky,,,,,,,,,2,4,,2,3,,4,5,,,3,4,3,1,1,3,0,0,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,4.4887
,Eastern Kentucky,,0,AWAY,0,East Tennessee St.,"Nov 8, 2024",,2,4,0.5,2,3,0.666666666666667,4,5,0.8,4,3,4,3,1,1,3,0,0,1,0,0,1,0,0,0,17.863,,,,,,0.121951219512195,0.166666666666667,0,0,0,0,0,0,0,0,,4.4887
Eastern Michigan,,,,,,,,,4,15,,1,6,,6,9,,,-4,4,5.5,2,1.5,1.5,1.5,1,0.5,0,0,,0,0,0,,,,,,,,,,,,,,,,,,3.791
,Eastern Michigan,,0,AWAY,0,IU Indy,"Nov 14, 2024",,2,8,0.25,0,3,0,3,4,0.75,3,-2,6,6,3,3,2,2,1,1,0,0,1,0,0,0,4.211,,,,,,0.0945945945945946,0.126760563380282,0,0,0,0,0,0,0,0,,3.145
,Eastern Michigan,,0,AWAY,0,Cleveland St.,"Nov 16, 2024",,2,7,0.285714285714286,1,3,0.333333333333333,3,5,0.6,-8,-6,2,5,1,0,1,1,1,0,0,0,1,0,0,0,39.741,,,,,,0.126984126984127,0.197183098591549,0,0,0,0,0,0,0,0,,0.646
Eastern Washington,,,,,,,,,7,12,,2,6,,8,10,,,-3,2.5,4,0,1.5,0.5,1,1,0.5,0,0,,0,0,0,,,,,,,,,,,,,,,,,,5.1526
,Eastern Washington,,0,HOME,0,Seattle,"Nov 6, 2024",,4,5,0.8,1,2,0.5,8,10,0.8,7,-1,3,3,0,2,0,1,1,1,0,0,0,0,0,0,23.387,,,,,,0.182795698924731,0.209302325581395,0,0,0,0,0,0,0,0,,5.783
,Eastern Washington,,0,AWAY,0,Missouri,"Nov 11, 2024",,3,7,0.428571428571429,1,4,0.25,0,0,0,-7,-5,2,5,0,1,1,1,1,0,0,0,1,0,0,0,12.365,,,,,,0.0909090909090909,0.142857142857143,0,0,0,0,0,0,0,0,,-0.6304
Elon,,,,,,,,,2,6,,0,1,,2,4,,,-1,3,5,1,1,0,2,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,1.5093
,Elon,,0,AWAY,0,Gardner Webb,"Nov 15, 2024",,2,6,0.333333333333333,0,1,0,2,4,0.5,-1,-1,3,5,1,1,0,2,0,0,0,0,1,0,0,0,13.802,,,,,,0.0759493670886076,0.0875,0,0,0,0,0,0,0,0,,1.5093
Evansville,,,,,,,,,1,6,,0,4,,4,6,,,-10,4,4,2,0,3,1,1,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,-2.226
,Evansville,,0,HOME,0,Radford,"Nov 16, 2024",,1,6,0.166666666666667,0,4,0,4,6,0.666666666666667,-11,-10,4,4,2,0,3,1,1,0,0,0,0,0,0,0,19.785,,,,,,0.0740740740740741,0.173913043478261,0,0,0,0,0,0,0,0,,-2.226
Fairfield,,,,,,,,,1,4,,1,1,,0,0,,,-2,6,2,1,0,3,0,0,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0.198
,Fairfield,,0,AWAY,0,New Hampshire,"Nov 12, 2024",,1,4,0.25,1,1,1,0,0,0,6,-2,6,2,1,0,3,0,0,1,0,0,1,0,0,0,12.977,,,,,,0.0483870967741935,0.0892857142857143,0,0,0,0,0,0,0,0,,0.198
Fairleigh Dickinson,,,,,,,,,5,5,,2,2,,2,2,,,8,3,0,0,0,3,3,1,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,13.665
,Fairleigh Dickinson,,0,HOME,0,Manhattan,"Nov 17, 2024",,5,5,1,2,2,1,2,2,1,3,8,3,0,0,0,3,3,1,1,1,0,0,0,0,0,5.552,,,,,,0.164705882352941,0.0731707317073171,0,1,1,0,0,0,0,0,,13.665
FIU,,,,,,,,,9,17,,1,6,,11,12,,,0.5,4.5,3,2,1,1.5,2,1.5,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,13.8294
,FIU,,0,AWAY,0,Rice,"Nov 5, 2024",,4,9,0.444444444444444,1,4,0.25,2,2,1,-7,-3,5,4,2,1,2,1,0,0,0,0,1,0,0,0,19.885,,,,,,0.157142857142857,0.155844155844156,0,0,0,0,0,0,0,0,,1.7514
,FIU,,0,AWAY,0,Southern Utah,"Nov 9, 2024",,5,8,0.625,0,2,0,9,10,0.9,-5,4,4,2,2,1,1,3,3,0,0,0,1,0,0,0,23.191,,,,,,0.253333333333333,0.1875,0,0,0,0,0,0,0,1,,12.078
Florida,,,,,,,,,28,55,,12,31,,47,61,,,3.28571428571429,4.85714285714286,3.85714285714286,1.85714285714286,1.28571428571429,0.571428571428571,1.14285714285714,1,0.571428571428571,2,0,,1,2,0,,,,,,,,,,,,,,,,,,63.3838
,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Florida,,1,Away,0,South Carolina,1/23/25,,4,7,0.571428571428571,2,4,0.5,5,5,1,1,7,2,2,2,1,1,3,3,1,1,0,1,0,0,0,15.524,,,,1987.769,-16.9455010325073,0.214285714285714,0.115942028985507,0,1,0,0,1,0,0,1,,18.1854
,Florida,,1,Neutral,0,North Carolina,12/17/24,,3,9,0.333333333333333,1,5,0.2,9,9,1,6,6,8,2,4,0,0,1,0,1,1,0,0,1,0,0,15.604,,,,2673.42,51.4781031970443,0.177777777777778,0.119047619047619,0,0,0,0,1,0,0,0,,11.9113
,Florida,,1,Home,0,Missouri,1/15/25,,6,9,0.666666666666667,2,5,0.4,4,7,0.571428571428571,-1,5,6,1,3,1,1,0,0,0,0,0,0,0,0,0,11.06,,,,2037.628,-27.4092567748918,0.219512195121951,0.156626506024096,0,0,0,0,0,0,0,1,,7.9295
,Florida,,1,Away,0,Georgia,2/25/25,,3,9,0.333333333333333,2,7,0.285714285714286,8,9,0.888888888888889,-5,6,4,7,1,2,1,4,4,0,0,0,1,0,0,0,14.93,,,,2257.299,-57.8258787217529,0.192771084337349,0.113636363636364,0,0,0,0,0,0,1,0,,12.6898
