,Opponent,Coach Name,Opp Coach Name,Conference,Opponent Conference,Date,Location,HAN,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,Points,Opp Points,SM,Line,,Over/Under Line,Total Points,Wins,Losses,WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3 rank,% of shots taken from 3,% of shots taken from 3 Rank,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G Rank,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,Oreb_rate,Oreb_rate_rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_RANK,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,OReb-Top7-Total,DReb-Top7-Total,AST-Top7-Total,TO-Top7-Total,STL-Top7-Total,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank,5 Year coach gap
Oregon,Troy,Dana Altman,Scott Cross,Big Ten,Sun Belt,"Nov 17, 2024","Beaumont, TX",NEUTRAL,"1,848",1,1,0,0,0,72,85,-13,6.5,,148.5,157,4,0,1,23,0,0,84.3333333333333,15.3333333333333,90,191,63.6666666666667,0.471204188481675,94,30,48,20,72,0.277777777777778,287,6.66666666666667,243,0.237154150197629,309,0.37696335078534,214,53,67,0.791044776119403,33,17.6666666666667,79,0.350785340314136,165,118.047779022023,102,1.04712041884817,105,12,111,0.342857142857143,85,30.6666666666667,18,42.6666666666667,29,0.568888888888889,36,16.3333333333333,67,0.544444444444443,144,12,137,8.33333333333333,97,16.6666666666667,173,5.6666666666666,23,4.33333333333337,77,16.3333333333333,99,13.6666666666667,73,40,38,69,105,78,196,49,0.397959183673469,88,19.5,105,26,90,0.288888888888889,93,6.5,178,0.282608695652174,205,0.459183673469388,307,3.52258064516129,156,9.33333333333333,98,0.233333333333333,46,23,102,32.3333333333333,79,14,213,0.717948717948718,272,13.6666666666667,123,22.3333333333333,23,11,81,3,7,26,71,82,175,18,66,43,54,0.468571428571429,0.272727272727273,0.796296296296296,9,23.6666666666667,32.6666666666667,14,9.33333333333333,6.33333333333333,27,71,42,28,19,75,0.9111,0.9162,0.9,0.9167,0.8113,0.806,0.9944,0.9818,1.0066,0.75,0.7717,0.7656,0.8571,0.7778,0.76,0.8893,1,-5.00293995252415,-33.0018492133537,23.2000394338761,28.101006072089,-14.8047497320018,9,13,69.2307692307692,26,3,6,50,44,10,12,83.3333333333333,62,18,1,13,4,3,228,2,71,0,1,1,149,3,312,2,20,0,1,2,8,0.6966,40,252.72715908243,5,73.223,9,-4
Troy,Oregon,Scott Cross,Dana Altman,Sun Belt,Big Ten,"Nov 17, 2024","Beaumont, TX",NEUTRAL,"1,848",1,1,0,0,1,85,72,13,6.5,,148.5,157,2,2,0.5,4,0,1,68,-2.5,108,252,63,0.428571428571429,209,27,125,20,90,0.222222222222222,351,5,321,0.220588235294118,328,0.357142857142857,256,36,53,0.679245283018868,239,9,327,0.21031746031746,343,95.4922061508215,311,0.877323420074349,272,14.25,30,0.377483443708609,42,25.5,159,39.75,71,0.533557046979866,100,15,102,0.555555555555556,129,18.5,354,9.25,57,18.75,259,-3,280,3.3333333333333,205,14.5,152,7.75,237,39.5,41,70.5,127,105,246,61.5,0.426829268292683,148,26.25,288,24,82,0.292682926829268,97,6,134,0.25531914893617,159,0.333333333333333,58,3.40363636363636,137,11.25,212,0.306122448979592,207,23.5,117,34.75,153,15.75,267,0.6,195,14.5,87,15.75,216,18.5,316,12.5,273,36,269,87,211,17,82,29,40,0.412322274881517,0.207317073170732,0.725,10.25,19.25,29.5,13,14.5,8.25,41,77,52,58,33,55,0.8056,0.8373,0.85,0.9111,0.8056,0.7547,0.9621,0.9329,1.0674,0.7193,0.7549,0.7421,0.8667,0.7838,0.8919,0.8088,1,1.44364124169666,-4.46833008191824,7.54349455325688,5.54839696725197,5.96244695473195,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5125,186,1.57863402888759,338,18.005,175,163
