,,,,,-0.0143214,-0.8651815,2.232438,0.7017919,-5.222409,1.657324,1779.948,519.7707,-31.66588,1006.611,-4806.844,402.5341,-1946.194,-6.12827,-1.108895,929.5971,-22.36771,75.8617,13.85521,-181.5876,1065.952,-153.3246,13.11626,17.18644,329.7633,723.3885,-654.5281,-18.08019,-0.2245623,0.3791122,3.989411,19.93224,-75.99378,56.93902,24.58319,-100.6839,244.5489,-136.7003,-5.022856,1.282506,321.3072,861.5658,,
,Coach Name,Conference,Tournament team,,Coach Value,SOS Median,SOS Min,SOS Max,SOS STDEV,Expected Value,FG%,% of Points from 3,Fouls Per Game,Free Throw %,Opp Shooting %,Opp Three Point %,Opp % of Points from 3,Opp Turnovers Per Game,Rebounds Per Game,Rebound Percent,Scoring Margin,Turnover Margin,Rebound Margin,Offensive Eff,Defensive Eff,A/T Ratio,PPG,Off Rebounds Per Game,Assists Per FGM,Opp Assists Per FGM,Opp Turnover Per Off Play,Steals Per Game,Clutch FG,Clutch 3FG,Clutch FT,SM,REB,OPPReb,Oreb,OpOreb,Turn,OppTurn,Top 25,Overtime,Steal:Turnover Ratio,,,Value
UCLA,Pat Duquette,American East,NO,,29.1780866553333,23.5009316315449,-7.04800879982188,41.6001837800792,22.5342430573158,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
N.C. State,Kevin Keatts,ACC,NO,,70.27977138737,-6.9606016867883,-15.1786120874503,9.25868003825134,12.4350448401448,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Creighton,Greg McDermott,Big East,NO,,119.426299483403,-31.5842091821293,-48.268393658796,5.33372022140181,22.6989124556772,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
USC,Marty Richter,Big South,NO,,11.574839418,-13.833647111106,-31.625461449704,24.856146550296,28.8779640132018,,,,,,,,,,,,,,,,,,,,,,,,83.3333333333333,0,85.7142857142857,4,1,2,0,0,1,5,0,0,0,1,,
Louisville,Pat Kelsey,ACC,NO,,92.5873525784872,-1.78143030844252,-12.2209429450899,8.65808232820487,14.763700355312,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Vermont,Kyle Neptune,Big East,NO,,23.6482239936,-29.9402896565359,-85.6145411173922,50.1903578826078,56.7051720830321,,,,,,,,,,,,,,,,,,,,,,,,30,33.3333333333333,84.6153846153846,-2,2.5,6.5,0.5,3,0.5,2,0,0,3,1,,
Clemson,Brad Brownell,ACC,NO,,119.919462054483,-12.5365645224575,-17.4396453241812,-2.91790994669552,6.97214911726139,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Nevada,Steve Alford,Mountain West,NO,,97.5283787919349,22.9709839321067,21.0222416102253,58.0300832976378,17.8968506159086,,,,,,,,,,,,,,,,,,,,,,,,50,0,64.2857142857143,7,10,3,2,1,1,1,0,0,0,1,,
TCU,Adam Fisher,American,NO,,31.971575702,-1.95623902813581,-14.7879035467088,50.716248600263,30.5870127558179,,,,,,,,,,,,,,,,,,,,,,,,33.3333333333333,0,54.5454545454545,-3,4,5,1,1,2,1,0,0,0,1,,
Grand Canyon,Bryce Drew,WAC,NO,,91.4381627768586,-18.9606967294846,-23.2163326625816,-13.5340342245374,4.85293736103918,,,,,,,,,,,,,,,,,,,,,,,,44.4444444444444,100,100,9,5,2,3,0,1,4,0,0,2,1,,
Marquette,Shaka Smart,Big East,NO,,109.616157888879,25.8084327325648,-30.9986654482572,42.8768927194368,33.3816850266099,,,,,,,,,,,,,,,,,,,,,,,,37.5,0,75,-1,8,6,2,2,2,1,0,0,0.5,1,,
Illinois,Brad Underwood,Big Ten,NO,,103.060929248733,12.7143550323733,-12.7400744916907,51.735887694862,32.4750101195955,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Virginia,Mike Young,ACC,NO,,68.875731818511,-2.74283393256,-29.6225695256653,45.5265079645627,38.0785009341861,,,,,,,,,,,,,,,,,,,,,,,,50,0,75,1,6,3,1,1,2,0,0,0,0,1,,
Butler,Thad Matta,Big East,NO,,92.1859796000873,-8.06666476620911,-32.2049996075151,35.9781552196995,29.2802037117642,,,,,,,,,,,,,,,,,,,,,,,,50,25,66.6666666666667,1,6,3,2,1,2,0,0,0,0,1,,
Texas Tech,Ed Conroy,Southern,NO,,15.0743675160923,-15.6674688326147,-16.633696855933,109.137765852971,72.3368751438416,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Colorado,Tad Boyle,Big 12,NO,,104.700845295074,5.06680711756272,-27.8217321001096,31.6428891175627,26.1441812011587,,,,,,,,,,,,,,,,,,,,,,,,50,25,76.1904761904762,0,13,10,5,6,4,4,0,1,0.75,1,,
Mississippi St.,Chris Jans,SEC,NO,,102.8623216098,12.4799938425861,-15.146123276984,33.742969322354,21.1059417721627,,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286,0,87.5,2,6,6,2,2,0,1,0,0,0,1,,
Vanderbilt,Ryan Odom,A10,NO,,77.7473866307333,-9.51707483663373,-44.2755484724591,37.9236359282029,36.1185631729548,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Iowa St.,TJ Otzelberger,Big 12,NO,,82.474110473,-19.7561942675149,-23.1514719308558,-16.360916604174,4.80164771951913,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Michigan,Dusty May,Big Ten,NO,,99.4434411663333,25.007884479974,-9.47069712804,91.961325823604,51.5751735778598,,,,,,,,,,,,,,,,,,,,,,,,20,0,87.5,0,7,4,4,2,4,3,0,1,0,1,,
Washington,David Riley,WCC,NO,,56.808554342,-5.53250205674335,-15.4274737374967,4.36246962401,13.9936031502191,,,,,,,,,,,,,,,,,,,,,,,,35.2941176470588,33.3333333333333,58.8235294117647,-1,5.5,9,2,3,1,2,0,0,1,1,,
Arizona,Tommy Lloyd,Big 12,NO,,84.1908638278857,-16.3315864920411,-21.2479345518131,93.7880401980729,65.0432909008445,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Akron,John Groce,MAC,NO,,64.1490787530327,13.2880413858293,11.8242187611603,14.7518640104983,2.07015780871548,,,,,,,,,,,,,,,,,,,,,,,,43.75,40,50,1,10,8,4,3,5,2,0,1,0,1,,
Wisconsin,Dwight Perry,Southern,NO,,20.3114823813333,7.739169036694,-30.682634436904,77.99480110005,48.4570901763053,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Southern Illinois,Stan Gouard,Ohio Valley,NO,,6.2638642182,4.24033011823057,-4.19256236407543,19.5591878028426,12.0410873842524,,,,,,,,,,,,,,,,,,,,,,,,55.5555555555556,66.6666666666667,66.6666666666667,9,8,4,2,1,2,0,0,0,0,1,,
