,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,5.686516,0.025252,-0.113503,-1.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,0.076186,0.846192,-0.113265,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,,Wins Prior to Season,Losses Prior to Season,Wins at School,Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach,Consecutive seasons improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,AP + UPSET + MM Year Prior INDY,5 Year coach gap,Started Season as Head Coach,NOTES***,,Score
Bradley,Brian Wardle,Missouri Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,253,203,153,136,3,1,256,204,0.5565,0.5324,0,15,10,0,1,0,100,1,0,0,0,0.0714285714285714,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,1,0,0.466666666666667,1,0,1,0,9,7,2,1,0,10,2,0.666666666666667,1,0,3,0,3,1,4,0,0,16,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.75,0.657,0,0.657,0,0,-0.657,0,,,1,0,1,-2,0,44,1,,,44.4401776432857
Brown,Mike Martin,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,148,171,148,171,1,3,149,174,0.4613,0.4613,1,12,12,0,0,0,100,1,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0.333333333333333,0,1,0,1,2,1,0,2,2,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.419,0,0.419,0,0,-0.419,0,,,1,0,1,-5,0,84,1,,,12.9526479199333
Bryant,Phil Martelli Jr.,American East,FALSE,FALSE,FALSE,FALSE,TRUE,,20,13,20,13,2,1,22,14,0.6111,0.6111,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,1,1,0,0,2,1,1,1,0,1,0,1,0,2,0,0,4,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0.666666666666667,0.606,0,0.606,0,0,-0.606,3,,,1,0,1,-13,0,0,1,,,56.6167968342
Bucknell,John Griffin III,Patriot,FALSE,FALSE,FALSE,FALSE,TRUE,,14,19,14,19,3,2,17,21,0.4474,0.4474,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.6,0.424,0,0.424,0,0,-0.424,0,,,1,0,1,-16,0,0,1,,,46.7799455628
Buffalo,George Halcovage III,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,4,27,4,27,2,2,6,29,0.1714,0.1714,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.129,0,0.129,0,0,-0.129,0,,,1,0,0,-16,0,0,1,,,13.3110009108
Butler,Thad Matta,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,471,187,32,33,3,1,474,188,0.716,0.5072,0,20,3,20,13,13,100,0,0,1,0,0.65,100,0,0.65,0,0,24,13,0.648648648648649,100,0,0,0,0,1,0,0,6,4,2,1,0,4,0,0,7,0,7,4,0,0.538461538461538,0.307692307692308,0,0,18,0,16,10,3,19,16,0.95,1,0,1,0,17,0,2,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.75,0.545,0,0.545,1,0,-0.545,0,,,1,0,1,8,0,0,1,,,92.1859796000873
BYU,Kevin Young,Big 12,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,4,0,4,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.676,0.324,1,0,0,0,0,,,0,1,1,6,0,0,1,,,62.002652896
Cal Baptist,Rick Croy,WAC,FALSE,FALSE,FALSE,FALSE,TRUE,,101,84,101,84,25,62,126,146,0.4632,0.4632,1,7,7,0,0,0,49,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.142857142857143,0,0,0,0,5,1,0,0,0,5,1,0.714285714285714,0,1,0,1,5,0,0,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.28735632183908,0.485,0,0.485,0,0,-0.485,0,,,1,0,1,-8,0,93,1,,,16.6382894315429
Cal Poly,Mike DeGeorge,Big West,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,2,2,2,2,0.5,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.125,0.375,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,24.21804225
Cal St. Bakersfield,Rod Barnes,Big West,FALSE,FALSE,FALSE,FALSE,TRUE,,382,401,196,212,3,1,385,402,0.4892,0.483,1,27,14,8,4,2,100,1,0,0.296296296296296,1,0.153846153846154,16,0,0.25,0,0,3,4,0.428571428571429,9,1,0,0,0,0,0,0,1,0,0,0,0,7,2,0,2,0,1,0,0.105263157894737,0.25,0,0,0,9,0,5,2,0,10,5,0.37037037037037,1,0,0,3,4,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.75,0.406,0,0.406,2,0,-0.406,0,,,1,0,1,-1,0,89,1,,,0.333026931600268
Cal St. Fullerton,Dedrique Taylor,Big West,FALSE,FALSE,FALSE,FALSE,TRUE,,155,179,155,179,0,4,155,183,0.4586,0.4586,1,12,12,0,2,0,100,1,0,0,1,0.181818181818182,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0.333333333333333,1,0,1,0,4,3,0,0,0,4,0,0.333333333333333,0,1,0,1,2,1,0,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.438,0,0.438,0,0,-0.438,0,,,1,0,1,-5,0,177,1,,,5.0576306852
Cal St. Northridge,Andy Newman,Big West,FALSE,FALSE,FALSE,FALSE,TRUE,,33,33,19,15,3,1,36,34,0.5143,0.5789,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.666666666666667,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.559,0,0.559,1,0,-0.559,0,,,1,0,1,-10,0,0,1,,,37.7976351992667
California,Mark Madsen,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,83,70,13,19,2,1,85,71,0.5449,0.4286,0,6,2,2,0,0,36,1,0,0.333333333333333,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,2,2,0,1,0,3,0,0.5,1,0,0,1,2,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0.666666666666667,0.406,0,0.406,0,0,-0.406,0,,,1,0,1,-4,0,0,1,,,45.9598006138
Campbell,Kevin McGeehan,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,169,182,169,182,3,2,172,184,0.4831,0.4831,1,12,12,0,0,0,100,1,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.25,0,0,0,0,5,1,0,0,0,6,0,0.5,1,0,0,2,3,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.6,0.438,0,0.438,0,0,-0.438,0,,,1,0,1,-5,0,61,1,,,20.1900923642
Canisius,Jim Christian,MAAC,FALSE,FALSE,TRUE,FALSE,TRUE,,320,286,0,0,0,5,320,291,0.5237,0,0,20,1,11,2,0,100,1,0,0.55,0,0.105263157894737,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0.222222222222222,1,0,1,0,10,0,8,3,0,10,8,0.5,0,1,0,3,6,0,0,4,4,0,16,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.438,-0.438,0.188,0,0,-0.188,3,,,-1,0,1,-9,0,0,1,,,-9.75158880324327
Central Arkansas,John Shulman,ASUN,FALSE,FALSE,TRUE,FALSE,TRUE,,145,146,0,0,1,3,146,149,0.4949,0.25,0,10,1,0,2,0,100,0,0,0,1,0.2,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,2,0,0.5,1,0,1,0,4,0,1,0,0,4,1,0.4,0,1,0,2,2,1,0,3,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.281,-0.031,0.406,1,0,-0.406,11,,,1,0,1,-18,0,0,1,,,3.6635622398
Central Connecticut,Patrick Sellers,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,38,57,38,57,2,2,40,59,0.404,0.404,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,1,1,1,0,0,1,1,0.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.5,0.645,0,0.645,2,0,-0.645,0,,,1,0,1,-8,0,0,1,,,18.531219678
Central Michigan,Tony Barbee,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,166,185,35,58,2,2,168,187,0.4732,0.3814,0,12,4,4,1,0,100,1,0,0.333333333333333,1,0.0909090909090909,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0.125,0,0,0,0,4,0,2,1,0,4,2,0.333333333333333,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0.5,0.563,0,0.563,2,0,-0.563,0,,,-1,0,1,-10,0,0,1,,,-6.87183927326667
Charleston,Chris Mack,CAA,FALSE,FALSE,TRUE,FALSE,TRUE,,278,133,0,0,3,1,281,134,0.6771,0.75,0,14,1,13,9,9,100,1,0,0.928571428571429,0,0.692307692307692,81,0,0.75,0,0,11,9,0.55,100,1,0,0,0,0,0,0,4,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,12,0,10,3,0,13,10,0.928571428571429,1,0,0,1,12,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0.75,0.771,-0.021,0.429,0,0,-0.429,0,,,1,0,1,-4,0,0,1,,,58.6699449754308
Charleston Southern,Saah Nimley,Big South,FALSE,FALSE,FALSE,FALSE,TRUE,,8,15,8,15,1,4,9,19,0.3214,0.3214,0,2,2,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0.2,0.333,0,0.333,0,0,-0.333,0,,,1,0,1,-16,0,0,1,,,7.5594050428
Charlotte,Aaron Fearne,American,FALSE,FALSE,FALSE,FALSE,TRUE,,19,12,19,12,2,1,21,13,0.6176,0.6176,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0.666666666666667,0.613,0,0.613,0,0,-0.613,0,,,1,0,1,-13,0,0,1,,,47.0340835632
Chattanooga,Dan Earl,Southern,FALSE,FALSE,FALSE,FALSE,TRUE,,112,168,39,29,2,3,114,171,0.4,0.5616,0,10,3,0,0,0,100,1,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,3,1,1,0,0,3,1,0.3,0,1,2,0,2,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0.4,0.636,0,0.636,4,0,-0.636,0,,,1,0,1,-5,0,0,1,,,18.857688588
Chicago St.,Scott Spinelli,NEC,FALSE,FALSE,TRUE,FALSE,TRUE,,1,3,0,0,0,4,1,7,0.125,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.406,-0.406,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,0.194319726
Cincinnati,Wes Miller,Big 12,FALSE,FALSE,FALSE,FALSE,TRUE,,248,178,63,43,3,0,251,178,0.5851,0.6055,0,14,4,2,2,0,100,1,0,0.142857142857143,0,0.153846153846154,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0.5,0,0,0,0,8,0,7,3,0,9,7,0.642857142857143,1,0,8,0,8,0,9,0,0,81,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0.595,0,0.595,0,0,-0.595,0,,,1,0,1,3,0,0,1,,,79.2619862695846
Clemson,Brad Brownell,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,432,274,265,189,3,1,435,275,0.6127,0.5852,0,23,15,15,7,4,100,1,0,0.652173913043478,0,0.318181818181818,49,0,0.285714285714286,0,0,5,7,0.416666666666667,25,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,4,3,0,0.875,0.428571428571429,0,0,0,20,2,12,2,0,21,12,0.91304347826087,1,0,11,0,11,0,12,0,0,144,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.667,0,0.667,0,0,-0.667,0,,,1,0,0,23,0,-19,1,,,119.919462054483
Cleveland St.,Daniyal Robinson,Horizon,FALSE,FALSE,FALSE,FALSE,TRUE,,42,29,42,29,3,2,45,31,0.5921,0.5921,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,2,2,2,0,0,3,2,1,1,0,2,0,2,0,3,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.6,0.583,0,0.583,0,0,-0.583,0,,,1,0,1,-5,0,0,1,,,43.4279688188667
Coastal Carolina,Justin Gray,Sun Belt,FALSE,FALSE,TRUE,FALSE,TRUE,,51,47,0,0,1,3,52,50,0.5098,0.25,0,4,1,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0.5,0,1,2,0,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0.25,0.29,-0.04,0.688,2,0,-0.688,0,,,1,0,1,-18,0,0,0,,,22.7765265156
Colgate,Matt Langel,Patriot,FALSE,FALSE,FALSE,FALSE,TRUE,,227,184,227,184,1,2,228,186,0.5507,0.5507,0,14,14,0,5,0,100,1,0,0,0,0.384615384615385,25,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,0,0.642857142857143,1,0,1,0,7,3,5,3,0,7,5,0.5,0,1,7,0,7,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333333333333333,0.714,0,0.714,0,0,-0.714,0,,,1,0,1,17,0,55,1,,,63.9696436770044
Colorado,Tad Boyle,Big 12,FALSE,FALSE,FALSE,FALSE,TRUE,,354,249,298,183,4,0,358,249,0.5898,0.6227,0,19,15,15,6,6,100,1,0,0.789473684210526,0,0.333333333333333,36,0,0.4,0,0,3,6,0.333333333333333,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0.25,0.166666666666667,0.166666666666667,0,0,14,1,11,2,0,15,11,0.789473684210526,1,0,9,0,9,0,10,0,0,100,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.703,0,0.703,1,0,-0.703,0,,,1,0,0,21,0,10,1,,,104.700845295074
Colorado St.,Niko Medved,Mountain West,FALSE,FALSE,FALSE,FALSE,TRUE,,196,162,117,75,3,1,199,163,0.5497,0.6122,0,12,7,0,2,0,100,1,0,0,0,0.181818181818182,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0.5,0,0,0,0,6,2,6,3,0,7,6,0.583333333333333,1,0,1,0,3,1,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.694,0,0.694,2,0,-0.694,0,,,1,0,1,14,0,64,1,,,49.6600152127333
Columbia,Jim Engles,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,170,274,59,135,5,0,175,274,0.3898,0.3216,1,16,8,0,0,0,100,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.1875,0,0,0,0,3,0,2,0,0,4,2,0.25,1,0,0,7,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.481,0,0.481,2,0,-0.481,0,,,1,0,1,-10,0,-21,1,,,10.3490684421
Connecticut,Dan Hurley,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,292,163,141,58,3,0,295,163,0.6441,0.7129,0,15,7,7,6,4,100,1,0,0.466666666666667,0,0.428571428571429,36,0,0.666666666666667,0,0,14,4,0.777777777777778,100,0,0,0,0,1,0,0,2,2,2,2,2,0,0,4,4,2,2,1,0.5,0.333333333333333,0.25,0,0,10,3,7,5,2,11,7,0.733333333333333,1,0,5,0,5,0,6,0,0,36,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0.925,0,0.925,3,0,-0.925,0,,,1,1,0,43,0,10,1,,,134.644686352359
Coppin St.,Larry Stewart,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,2,27,2,27,0,6,2,33,0.0571,0.0571,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0.069,0,0.069,0,0,-0.069,0,,,1,0,1,-16,0,0,1,,,0.6621123702
Cornell,Jon Jaques,Ivy,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,1,3,1,0.75,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.75,0.733,0.017,1,0,0,0,0,,,0,0,1,-18,0,0,1,,,48.746462618
Creighton,Greg McDermott,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,474,291,325,60,4,0,478,291,0.6216,0.8458,0,24,15,16,12,8,100,1,0,0.666666666666667,0,0.521739130434783,100,0,0.5,0,0,11,12,0.478260869565217,100,0,0,0,0,1,0,0,3,1,0,0,0,0,0,4,4,0,3,0,0.5,0.25,0,0,0,16,9,16,5,0,17,16,0.708333333333333,1,0,9,0,9,0,10,0,0,100,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0.714,0,0.714,1,0,-0.714,0,,,1,0,0,23,0,13,1,,,119.426299483403
Dartmouth,David McLaughlin,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,62,131,62,131,2,2,64,133,0.3249,0.3249,1,8,8,0,0,0,64,1,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.222,0,0.222,0,0,-0.222,0,,,1,0,1,-10,0,4,1,,,2.3822092018
Davidson,Matt McKillop,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,31,33,31,33,3,0,34,33,0.5075,0.5075,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0.469,0,0.469,0,0,-0.469,0,,,1,0,1,-10,0,0,1,,,38.6438521003333
Dayton,Anthony Grant,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,342,182,149,71,3,0,345,182,0.6546,0.6816,0,17,8,6,4,1,100,1,0,0.352941176470588,0,0.25,16,0,0.166666666666667,0,0,2,4,0.333333333333333,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0.818181818181818,0.5,0,0,0,14,3,11,4,0,15,11,0.882352941176471,1,0,6,0,7,0,7,0,0,49,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0.758,0,0.758,1,0,-0.758,0,,,1,0,0,17,0,-6,1,,,83.5186746700699
Delaware,Martin Ingelsby,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,131,117,131,117,2,1,133,118,0.5299,0.5299,0,9,9,0,1,0,81,1,0,0,0,0.125,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0.111111111111111,1,0,1,0,5,0,2,0,0,6,2,0.666666666666667,1,0,3,0,3,0,4,0,0,16,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.576,0,0.576,1,0,-0.576,0,,,1,0,1,-7,0,-81,1,,,51.5573868993556
Delaware St.,Stan Waterman,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,23,69,23,69,0,2,23,71,0.2447,0.2447,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,4,0,16,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.441,0,0.441,2,0,-0.441,0,,,-1,0,1,-13,0,0,1,,,-1.4341408546
Denver,Jeff Wulbrun,Summit,FALSE,FALSE,FALSE,FALSE,TRUE,,43,55,43,55,3,2,46,57,0.4466,0.4466,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.6,0.5,0,0.5,2,0,-0.5,0,,,1,0,1,-13,0,0,1,,,28.7300368772
DePaul,Chris Holtmann,Big East,FALSE,FALSE,TRUE,FALSE,TRUE,,251,171,0,0,4,0,255,171,0.5986,1,0,14,1,11,7,7,100,1,0,0.785714285714286,0,0.538461538461538,49,0,0.7,0,0,7,7,0.5,49,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,7,1,0,0,0.333333333333333,0,0,0,0,10,0,8,1,0,11,8,0.785714285714286,1,0,10,0,10,0,11,0,0,121,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.094,0.906,0.56,1,0,-0.56,0,,,1,0,1,-2,0,0,1,,,105.123646785713
