Team,HomeAwayNeut,Date,Opponent,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Oregon,NEUTRAL,"Nov 17, 2024",Troy,23,64,6,22,20,25,22,19,16,14,6,3,11,6,30,72,85,1,2,31,57,10,21,9,22,24,10,6,23,22,38
Troy,NEUTRAL,"Nov 17, 2024",Oregon,31,57,10,21,13,18,9,22,24,10,5,6,23,22,38,85,72,2,2,23,64,6,22,22,19,16,14,3,11,6,30
