,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Denver,,,24.9078929699298,3.579873405896,61.462313175006,29.2731016710954,89.9500795508318
DePaul,,,55.0224970800491,-18.5764172153389,86.4301455912591,44.5955432936149,177.898722536018
Detroit Mercy,,,12.6453466565593,1.43927968093511,26.8145898353493,12.716457543636,40.8992161728437
Drake,,,9.143438363,-13.360683782,31.647560508,31.8256347467597,18.286876726
Drexel,,,18.4157864808196,11.4337099825927,87.3073148030267,41.9356570141368,117.156811266439
Duke,,,6.57223449511402,-15.6761734878773,82.2988298241251,43.6282536776274,79.7671253264758
Duquesne,,,-13.73349873104,-37.68833509104,6.44030090896,22.091298785456,-44.98153291312
East Carolina,,,5.28513633361665,-6.943543210926,17.5138158781593,17.2939644618067,10.5702726672333
East Tennessee St.,,,-16.9242157121884,-46.079236906742,12.2308054823653,41.2314263846128,-33.8484314243767
East Texas A&M,,,25.976180090152,17.209855708758,46.343603708758,12.633793800558,115.50581959782
Eastern Illinois,,,-3.59224566224857,-23.2994942198286,68.7444261004379,48.4648549558276,41.8526862183607
Eastern Kentucky,,,78.9170656648632,52.7579048992583,105.076226430468,36.9946399350165,157.834131329726
Eastern Michigan,,,7.90748250797183,-2.6162622397557,28.633174192733,15.8998468371829,33.9243944609491
Eastern Washington,,,57.2936064412149,-31.8965995587851,61.5354047212149,52.761136459122,86.9324116036447
Elon,,,46.7302430343218,14.3925835815365,79.0679024871071,45.7323565735315,93.4604860686436
Evansville,,,-1.58239066025,-52.1807363743524,2.814317983608,30.5613580624777,-50.9488090509944
Fairfield,,,21.0470823199927,-51.787538814688,26.52293689344,43.7176501823068,-4.2175196012553
Fairleigh Dickinson,,,22.331615510335,-11.701966321984,27.02002805941,18.183393461003,59.981292758096
FIU,,,5.472531436488,-3.973960864608,14.919023737584,13.359357529063,10.945062872976
Florida,,,-8.54170054021069,-12.548298389686,30.589700018122,20.4086614041091,0.95800054801463
Florida A&M,,,25.77859264622,-6.93228135378,43.87438728622,25.7512997723471,62.72069857866
Florida Atlantic,,,16.6156235031,-1.47096077081933,96.0247414031,45.1727255531967,127.785027638481
Florida Gulf Coast,,,13.2624190089238,-5.02648190272017,52.8799234605678,25.9764690261705,74.3782795756953
Florida St.,,,3.55234382045415,-4.24516671543027,8.43024204160173,5.36640599843893,11.2897629670798
Fordham,,,-1.30187435993811,-9.01481068427267,68.710576242144,36.5275294322493,57.0920168379951
Fresno St.,,,4.831285017474,-18.9166771435313,41.8298896294133,30.6131992903142,27.744497503356
Furman,,,19.3597719149317,-1.86817010221429,28.8847653670097,15.743221094171,46.3763671797271
Gardner Webb,,,32.7367378669,1.36123372470822,73.8127903019,29.7564291974912,140.647499760408
George Mason,,,1.458172966862,-28.5946487463436,81.991769992592,41.4033481917071,59.7965198476984
George Washington,,,-8.11761712714667,-34.987352216232,55.0532721282193,46.2238357441445,11.9483027848406
Georgetown,,,-21.916389067003,-22.418221234697,-19.4272207029173,1.6017635515479,-63.7618310046173
Georgia,,,15.6116049352337,-35.9009981986703,30.1156018462686,30.6343014487802,25.4378135180657
Georgia Southern,,,2.89269349767844,-13.459006898278,34.112277224646,19.1925579382169,46.1252729113824
Georgia St.,,,4.855886474724,1.62704957429,12.0609829768693,5.3417501748692,18.5439190258833
Georgia Tech,,,-4.01806442603067,-69.342016367218,7.64498562626778,35.1559004733341,-69.7331595930116
Gonzaga,,,111.187809324549,-6.73695945358267,126.120839172901,72.7787069681131,230.571689043867
