,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Nasir DeGruy,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Starter,1,15,2,4,0,0,2,2,0,3,0,2,1,2,6,0,29.982,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1.5,0,0,"1,024",0,TRUE,1,15,2,4,0,0,2,2,0,3,0,2,1,2,6,Nasir DeGruy
,Quion Williams,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,22,0,6,0,2,4,4,2,4,1,0,4,0,4,0,19.369,0,41.703,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-23,-4.5,0,0,1434,0,TRUE,1,22,0,6,0,2,4,4,2,4,1,0,4,0,4,Quion Williams
,Quion Williams,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Starter,1,26,6,10,1,2,4,6,1,2,2,1,6,4,17,0,29.982,0,41.703,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12,-1.5,0,0,"1,024",0,TRUE,1,26,6,10,1,2,4,6,1,2,2,1,6,4,17,Quion Williams
,Rich Smith,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,17,1,2,0,0,6,8,0,1,2,0,1,2,8,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,TRUE,0,17,1,2,0,0,6,8,0,1,2,0,1,2,8,Rich Smith
,Rich Smith,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Bench,0,25,2,3,0,0,2,4,0,1,3,3,0,4,6,0,29.982,0,41.703,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12,-1.5,0,0,"1,024",0,TRUE,0,25,2,3,0,0,2,4,0,1,3,3,0,4,6,Rich Smith
,Yaniel Rivera,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Bench,0,5,1,2,1,2,0,0,0,0,0,0,0,1,3,0,29.982,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1.5,0,0,"1,024",0,FALSE, , , , , , , , , , , , , , , , 
Air Force,,,,,,,,,20,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,20,744,81,184,32,99,57,83,25,79,60,18,32,64,251,9
,Beau Becker,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,5,0,1,0,1,0,0,0,1,1,0,0,0,0,,14.617,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-5.5,0,0,1212,0,FALSE, , , , , , , , , , , , , , , , 
,Byron Brown,Air Force,HOME,North Alabama,ASUN,0,,Starter,1,18,1,2,0,0,0,2,2,2,0,0,1,0,2,,14.617,,10.946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-16,-5.5,0,0,1212,0,TRUE,1,18,1,2,0,0,0,2,2,2,0,0,1,0,2,Byron Brown
,Byron Brown,Air Force,HOME,Belmont,Missouri Valley,0,0,Starter,1,30,0,1,0,0,2,5,1,1,2,1,1,2,2,0,30.544,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,2.5,0,0,2001,0,TRUE,1,30,0,1,0,0,2,5,1,1,2,1,1,2,2,Byron Brown
