Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Dickey,Dayton,HOME,Saint Francis,NEC,0,,Bench,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,11.936,,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-22.5,0,0,"13,407",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamad Mousa,Dayton,HOME,Saint Francis,NEC,0,,Bench,0,12,1,2,0,1,2,3,0,0,0,0,1,0,4,,11.936,,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-22.5,0,0,"13,407",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Jack,Dayton,HOME,Ball St.,MAC,0,0,Bench,0,14,5,5,0,0,1,2,1,0,0,0,3,3,11,0,9.249,0,44.569,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,-15.5,0,0,13407,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Conner,Dayton,HOME,Saint Francis,NEC,0,,Bench,0,17,3,7,3,6,1,1,0,3,0,0,0,1,10,,11.936,,44.569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-22.5,0,0,"13,407",0,TRUE,0,17,3,7,3,6,1,1,0,3,0,0,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Conner,Dayton,HOME,Northwestern,Big Ten,0,0,Bench,0,19,1,3,0,2,1,3,1,0,0,1,1,0,3,0,23.846,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4.5,1,0,13407,0,TRUE,0,19,1,3,0,2,1,3,1,0,0,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Conner,Dayton,HOME,Ball St.,MAC,0,0,Bench,0,15,0,0,0,0,3,4,0,3,1,0,1,1,3,0,9.249,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-15.5,0,0,13407,0,TRUE,0,15,0,0,0,0,3,4,0,3,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaiun Simon,Dayton,HOME,Saint Francis,NEC,0,,Bench,0,5,1,4,0,2,0,0,0,1,1,0,0,2,2,,11.936,,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-22.5,0,0,"13,407",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Bennett,Dayton,HOME,Saint Francis,NEC,0,,Starter,1,25,5,12,3,10,0,2,1,1,0,1,2,2,13,,11.936,,44.569,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30,-22.5,0,0,"13,407",0,TRUE,1,25,5,12,3,10,0,2,1,1,0,1,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Bennett,Dayton,HOME,Northwestern,Big Ten,0,0,Starter,1,27,3,7,2,5,0,0,0,2,1,2,1,2,8,0,23.846,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,-4.5,1,0,13407,0,TRUE,1,27,3,7,2,5,0,0,0,2,1,2,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Bennett,Dayton,HOME,Ball St.,MAC,0,0,Starter,1,22,1,7,0,4,0,0,0,1,0,2,0,2,2,0,9.249,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,-15.5,0,0,13407,0,TRUE,1,22,1,7,0,4,0,0,0,1,0,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Smith,Dayton,HOME,Northwestern,Big Ten,0,0,Starter,1,31,4,6,1,2,5,10,0,4,6,1,4,3,14,0,23.846,0,44.569,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,-4.5,1,0,13407,0,TRUE,1,31,4,6,1,2,5,10,0,4,6,1,4,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Smith,Dayton,HOME,Ball St.,MAC,0,0,Starter,1,31,5,6,2,2,5,6,1,5,10,3,1,2,17,0,9.249,0,44.569,2,1,0,0,0,0,0,0,0,1,1,0,1,0,8,-15.5,0,0,13407,0,TRUE,1,31,5,6,2,2,5,6,1,5,10,3,1,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Smith,Dayton,HOME,Saint Francis,NEC,0,,Bench,0,20,5,8,1,2,0,2,0,2,6,3,0,0,11,,11.936,,44.569,1,0,0,0,0,0,0,0,0,1,1,0,1,0,30,-22.5,0,0,"13,407",0,TRUE,0,20,5,8,1,2,0,2,0,2,6,3,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Santos,Dayton,HOME,Saint Francis,NEC,0,,Starter,1,26,1,9,0,6,2,2,2,6,3,1,2,0,4,,11.936,,44.569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,-22.5,0,0,"13,407",0,TRUE,1,26,1,9,0,6,2,2,2,6,3,1,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Santos,Dayton,HOME,Northwestern,Big Ten,0,0,Starter,1,26,6,9,3,4,1,2,0,6,1,0,1,4,16,0,23.846,0,44.569,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,-4.5,1,0,13407,0,TRUE,1,26,6,9,3,4,1,2,0,6,1,0,1,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Santos,Dayton,HOME,Ball St.,MAC,0,0,Starter,1,35,0,5,0,3,4,8,0,4,3,1,2,3,4,0,9.249,0,44.569,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,-15.5,0,0,13407,0,TRUE,1,35,0,5,0,3,4,8,0,4,3,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posh Alexander,Dayton,HOME,Saint Francis,NEC,0,,Starter,1,26,3,8,0,2,1,1,2,1,5,1,1,1,7,,11.936,,44.569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,-22.5,0,0,"13,407",0,TRUE,1,26,3,8,0,2,1,1,2,1,5,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posh Alexander,Dayton,HOME,Northwestern,Big Ten,0,0,Bench,0,20,0,2,0,1,0,0,0,1,1,0,1,0,0,0,23.846,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,-4.5,1,0,13407,0,TRUE,0,20,0,2,0,1,0,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posh Alexander,Dayton,HOME,Ball St.,MAC,0,0,Bench,0,22,1,5,0,2,0,0,0,1,3,1,1,0,2,0,9.249,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,-15.5,0,0,13407,0,TRUE,0,22,1,5,0,2,0,0,0,1,3,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Maxwell,Dayton,HOME,Saint Francis,NEC,0,,Bench,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.936,,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-22.5,0,0,"13,407",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zed Key,Dayton,HOME,Saint Francis,NEC,0,,Starter,1,23,4,4,0,0,6,8,3,3,0,0,0,2,14,,11.936,,44.569,1,0,0,0,1,0,1,0,0,0,0,0,1,0,30,-22.5,0,0,"13,407",0,TRUE,1,23,4,4,0,0,6,8,3,3,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zed Key,Dayton,HOME,Northwestern,Big Ten,0,0,Starter,1,30,2,4,0,0,7,7,0,3,3,0,1,3,11,0,23.846,0,44.569,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,-4.5,1,0,13407,0,TRUE,1,30,2,4,0,0,7,7,0,3,3,0,1,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zed Key,Dayton,HOME,Ball St.,MAC,0,0,Starter,1,16,4,5,0,0,5,6,2,2,0,0,1,4,13,0,9.249,0,44.569,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,-15.5,0,0,13407,0,TRUE,1,16,4,5,0,0,5,6,2,2,0,0,1,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavan Reilly,Delaware,AWAY,Iona,MAAC,0,0,Starter,1,25,2,6,1,4,4,4,2,4,0,0,1,2,9,0,35.84,0,16.702,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,6.5,1,0,"2,028",0,TRUE,1,25,2,6,1,4,4,4,2,4,0,0,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavan Reilly,Delaware,HOME,Bucknell,Patriot,0,,Starter,1,28,2,6,1,5,1,2,0,0,1,0,0,3,6,,10.183,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,-4.5,0,0,"1,775",0,TRUE,1,28,2,6,1,5,1,2,0,0,1,0,0,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavan Reilly,Delaware,HOME,Robert Morris,Horizon,0,,Starter,1,26,3,4,1,2,3,4,0,4,0,1,0,2,10,,9.781,,16.702,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-7.5,1,0,"1,402",0,TRUE,1,26,3,4,1,2,3,4,0,4,0,1,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Timko,Delaware,AWAY,Iona,MAAC,0,0,Starter,1,24,1,5,0,1,2,2,0,3,0,0,0,1,4,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6.5,1,0,"2,028",0,TRUE,1,24,1,5,0,1,2,2,0,3,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Timko,Delaware,HOME,Bucknell,Patriot,0,,Starter,1,31,7,11,2,5,4,5,0,4,2,0,1,2,20,,10.183,,16.702,1,0,0,0,0,0,1,0,0,0,0,0,1,1,-12,-4.5,0,0,"1,775",0,TRUE,1,31,7,11,2,5,4,5,0,4,2,0,1,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Timko,Delaware,HOME,Robert Morris,Horizon,0,,Starter,1,37,3,12,0,4,6,6,1,2,3,0,1,1,12,,9.781,,16.702,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,-7.5,1,0,"1,402",0,TRUE,1,37,3,12,0,4,6,6,1,2,3,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe Moss,Delaware,HOME,Bucknell,Patriot,0,,Bench,0,6,0,1,0,0,0,2,1,2,0,0,0,2,0,,10.183,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-4.5,0,0,"1,775",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Emory,Delaware,AWAY,Iona,MAAC,0,0,Bench,0,14,0,2,0,0,2,4,0,0,2,1,0,4,2,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6.5,1,0,"2,028",0,TRUE,0,14,0,2,0,0,2,4,0,0,2,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Emory,Delaware,HOME,Bucknell,Patriot,0,,Bench,0,5,1,1,0,0,0,1,0,0,0,2,1,3,2,,10.183,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-4.5,0,0,"1,775",0,TRUE,0,5,1,1,0,0,0,1,0,0,0,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Emory,Delaware,HOME,Robert Morris,Horizon,0,,Bench,0,11,1,2,0,0,0,0,0,5,0,0,1,2,2,,9.781,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-7.5,1,0,"1,402",0,TRUE,0,11,1,2,0,0,0,0,0,5,0,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izaiah Pasha,Delaware,AWAY,Iona,MAAC,0,0,Starter,1,27,3,10,0,4,2,2,1,3,2,0,2,2,8,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6.5,1,0,"2,028",0,TRUE,1,27,3,10,0,4,2,2,1,3,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izaiah Pasha,Delaware,HOME,Bucknell,Patriot,0,,Starter,1,23,1,8,0,2,1,2,0,4,2,1,4,1,3,,10.183,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,-4.5,0,0,"1,775",0,TRUE,1,23,1,8,0,2,1,2,0,4,2,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izaiah Pasha,Delaware,HOME,Robert Morris,Horizon,0,,Starter,1,15,2,3,1,2,2,2,1,2,3,0,2,2,7,,9.781,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-7.5,1,0,"1,402",0,TRUE,1,15,2,3,1,2,2,2,1,2,3,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Camden,Delaware,AWAY,Iona,MAAC,0,0,Starter,1,23,3,9,2,4,0,1,2,3,1,0,0,2,8,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6.5,1,0,"2,028",0,TRUE,1,23,3,9,2,4,0,1,2,3,1,0,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Camden,Delaware,HOME,Bucknell,Patriot,0,,Starter,1,28,8,15,2,5,1,2,3,0,1,1,3,5,19,,10.183,,16.702,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-12,-4.5,0,0,"1,775",0,TRUE,1,28,8,15,2,5,1,2,3,0,1,1,3,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Camden,Delaware,HOME,Robert Morris,Horizon,0,,Starter,1,25,1,6,1,4,6,8,0,3,0,0,1,3,9,,9.781,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-7.5,1,0,"1,402",0,TRUE,1,25,1,6,1,4,6,8,0,3,0,0,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kogbara,Delaware,AWAY,Iona,MAAC,0,0,Bench,0,8,0,2,0,0,0,0,1,0,2,0,1,1,0,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.5,1,0,"2,028",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kogbara,Delaware,HOME,Bucknell,Patriot,0,,Bench,0,4,0,0,0,0,0,0,0,0,1,1,1,4,0,,10.183,,16.702,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-12,-4.5,0,0,"1,775",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kogbara,Delaware,HOME,Robert Morris,Horizon,0,,Bench,0,10,2,5,1,1,0,0,2,4,0,0,3,2,5,,9.781,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-7.5,1,0,"1,402",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macon Emory,Delaware,AWAY,Iona,MAAC,0,0,Bench,0,10,1,3,0,1,1,2,2,1,0,2,0,1,4,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.5,1,0,"2,028",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macon Emory,Delaware,HOME,Robert Morris,Horizon,0,,Bench,0,8,0,2,0,1,0,0,0,0,0,0,0,1,0,,9.781,,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-7.5,1,0,"1,402",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niels Lane,Delaware,AWAY,Iona,MAAC,0,0,Starter,1,34,5,9,2,3,2,2,1,5,1,4,1,3,14,0,35.84,0,16.702,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6.5,1,0,"2,028",0,TRUE,1,34,5,9,2,3,2,2,1,5,1,4,1,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niels Lane,Delaware,HOME,Bucknell,Patriot,0,,Starter,1,33,6,9,2,3,2,2,0,5,1,0,2,2,16,,10.183,,16.702,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,-4.5,0,0,"1,775",0,TRUE,1,33,6,9,2,3,2,2,0,5,1,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niels Lane,Delaware,HOME,Robert Morris,Horizon,0,,Starter,1,32,8,12,0,0,3,6,0,7,1,3,3,2,19,,9.781,,16.702,1,0,0,0,0,0,0,1,0,1,0,0,1,0,4,-7.5,1,0,"1,402",0,TRUE,1,32,8,12,0,0,3,6,0,7,1,3,3,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Middleton Jr.,Delaware,AWAY,Iona,MAAC,0,0,Bench,0,15,1,2,0,1,0,0,0,3,0,1,0,2,2,0,35.84,0,16.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.5,1,0,"2,028",0,TRUE,0,15,1,2,0,1,0,0,0,3,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
